pid,artist,location,label,medium,_date,object_type,current_location,description,curatorial_notes,source,order,layout,collection,thumbnail,full,manifest
obj108,,,Indians Have Always Paid the Price,photo,4/30/06,photo,,Detail of a larger work by Peter Jemison (Seneca). (See the Audio Visual page for the full image)(Courtesy of Peter Jemison),"Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,108,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj108/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj108/full/full/0/default.jpg,/img/derivatives/iiif/obj108/manifest.json
obj109,,,From the 5th Iroquois Biennial,photo,4/30/06,photo,,From the 5th Iroquois Biennial,"Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,109,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj109/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj109/full/full/0/default.jpg,/img/derivatives/iiif/obj109/manifest.json
obj11,Alan Michelson,online,Indian Time 2,"Acrylic watches, faces printed with Peter Rindisbacher imagery, birch log, logo label",1996,watches,," An installation consisting of a display of contemporary acrylic watches printed with imagery taken from the work of Swiss pioneer artist Peter Rindisbacher. Their design and production, including the ""Chippewatch"" logo, was the artist's contribution to the 1996 Swiss Institute exhibition Red River Crossings: Contemporary Native American Artists Respond to Peter Rindisbacher (1806-1834).",,,11,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj11/full/full/0/default.jpg,/img/derivatives/iiif/obj11/manifest.json
obj110,,,East Wall 1,photo,4/30/06,photo,,"Frontal view of the east wall of the exhibition, with introductory text and two paintings by, the curator and painter, Peter Jemison. (Courtesy of The Fenimore Museum)","Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,110,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj110/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj110/full/full/0/default.jpg,/img/derivatives/iiif/obj110/manifest.json
obj111,,,East Wall 2,photo,4/30/06,photo,,"Rear view of the west wall of the exhibition, with installation by Tom Huff, and introductory text and works by Peter Jemison. (Courtesy of The Fenimore Museum)","Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,111,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj111/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj111/full/full/0/default.jpg,/img/derivatives/iiif/obj111/manifest.json
obj112,,,West Wall,photo,4/30/06,photo,,"View of the west wall of the exhibition, with images and installations by Rick Hill and participating artists. (Courtesy of The Fenimore Museum)","Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,112,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj112/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj112/full/full/0/default.jpg,/img/derivatives/iiif/obj112/manifest.json
obj113,,,From the 5th Iroquois Biennial,photo,4/30/06,photo,,"Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)","Searing visions of Sullivan/Clinton by Haudenosaunee Artists at the 5th Iroquois Biennial Art Exhibition, curated by Peter Jemison, at the Fenimore Museum in Cooperstown, NY (ended 12/31/05)",,113,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj113/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj113/full/full/0/default.jpg,/img/derivatives/iiif/obj113/manifest.json
obj114,,,225th Anniversary Fields of Fire Installation at the AICH,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,114,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj114/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj114/full/full/0/default.jpg,/img/derivatives/iiif/obj114/manifest.json
obj115,,,Fields of Fire,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,115,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj115/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj115/full/full/0/default.jpg,/img/derivatives/iiif/obj115/manifest.json
obj116,,,Commander-in- chief,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,116,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj116/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj116/full/full/0/default.jpg,/img/derivatives/iiif/obj116/manifest.json
obj117,,,Bearing Witness,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,117,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj117/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj117/full/full/0/default.jpg,/img/derivatives/iiif/obj117/manifest.json
obj118,,,Fields of Fire 2,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,118,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj118/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj118/full/full/0/default.jpg,/img/derivatives/iiif/obj118/manifest.json
obj119,,,aka Town Destroyer,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,119,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj119/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj119/full/full/0/default.jpg,/img/derivatives/iiif/obj119/manifest.json
obj12,Alan Michelson,online,No York,Acrylic on linen map,1997,painting,," In this artwork, a classroom map of New York State is overpainted so that only Native American place names remain. ",Size: 140.9 X 140.9cm,,12,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj12/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj12/full/full/0/default.jpg,/img/derivatives/iiif/obj12/manifest.json
obj120,,,Longhouse Burning,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,120,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj120/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj120/full/full/0/default.jpg,/img/derivatives/iiif/obj120/manifest.json
obj121,,,identity theft,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,121,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj121/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj121/full/full/0/default.jpg,/img/derivatives/iiif/obj121/manifest.json
obj122,,,Oneida Silver,photo,6/2/06,photo,,"Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005.","Fields of Fire: Our recent installation at the American Indian Community House, NYC. Summer 2004-Winter 2005. Photos by Clint Fisher.",Photos by Clint Fisher,122,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj122/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj122/full/full/0/default.jpg,/img/derivatives/iiif/obj122/manifest.json
obj123,Henry Hall,,Gen. James Clinton,Print,c. 1861,print,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection, The New York Public Library","first published in Mary L. Booth's History of New York (1st ed. 1861, 2nd ed. 1880)",From New York Public Library Digital Collections,http://digitalcollections.nypl.org/items/510d47da-2756-a3d9-e040-e00a18064a99,123,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj123/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj123/full/full/0/default.jpg,/img/derivatives/iiif/obj123/manifest.json
obj13,Steve Gonyea,Onondaga Nation,america1777,Acrylic paint,2005,painting,,"Steve's allegorical painting is a commentary on and companion to the once well-known national icon, ""The Murder of Jane McCrae,"" painted by John Vanderlyn in 1804. Her killing in 1777 was one of the events (along with the so-called Wyoming Valley and Cherry Valley massacres of 1778) that created an atmosphere in which the Sullivan-Clinton Campaign against Iroquoia was launched in 1779.",,,13,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj13/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj13/full/full/0/default.jpg,/img/derivatives/iiif/obj13/manifest.json
obj14,John Vanderlyn,,The Death of Jane McCrea,Oil on Canvas,1804,painting,"Wadsworth Atheneum, Hartford, Connecticut, USA","Eric v.d. Luft describes the painting as ""a classic depiction of American attitudes toward Indian savagery,"" in his ""Mcrae, Jane"" entry for the _Encyclopedia of New York State_ edited by Peter Eisenstadt and published by Syracuse University Press, 2005, pp. 963.",Size: Height: 82.5 cm X Width: 67.3 cm,https://commons.wikimedia.org/wiki/File:The_Death_of_Jane_McCrea_John_Vanderlyn_1804.jpeg,14,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj14/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj14/full/full/0/default.jpg,/img/derivatives/iiif/obj14/manifest.json
obj15,David Kanietakeron Fadden,online,Clearing Darkness: The First Condolence,Acrylic on Canvas,2006,painting,,"""It is said that there once was a time in our (Haudenosaunee) history where the people (Onkwehonweh) came to forget the original instructions given to them by Sonkwaiatison (the Creator of all Things). During this time, the five nations of the Haudenosaunee (Seneca, Cayuga, Onondaga, Oneida, Mohawk) waged war against one another, and much destruction evolved from acts of revenge, violence, and even hatred. The respect and gratitude for life which had been taught to them by their creator had been lost. As Sonkwaiatison watched their actions with a heavy heart, he decided to send a messenger to earth remind these people of his teachings and return (restore) peace to their hearts, minds, and daily lives.

  Soon a child was born on earth whose life purpose would be to restore peace and unity to the lives of the Haudenosaunee. He was know as the Peacemaker and, despite the things that were going on in life around him, he continued to walk upon the earth with a good heart and a good mind as he grew into manhood. Because he was honest and pure of spirit, it was said that the light always shown upon his face. Many people, however, did not understand the message of peace that he carried, so he decided that it was time to leave his place of birth to seek out those who would understand and embrace the peace that he had to offer.

  During his travels, he came upon a man who was stricken seven times over with grief, living alone in the forest. He acknowledged the man's grief and asked him why he was living alone, away from those who could console him. The man replied, ""Some evil sorcery has been used to take the lives of my seven daughters. In all my misery and sorrow, I became bitter and enraged. Carrying my dark shroud of grief and misery, I thought it best to cast myself away from my people.""

  The Peacemaker then acknowledged the shell strings this man, known as Aionwatha, had compiled. He grasped them gently and said, ""I will use these strings you have carefully created to remove the grief and sorrow from your mind. Some of these strings will be used to set your mind straight so that it can rest once again. Others will be used to wipe the tears from your eyes so that you can once again see things clearly as they are. The strings that remain will be used to remove the cries of sorrow from your ears so that you can hear things clearly once again. In the future, these shell strings shall be used in this way to console others who have lost their loved ones to death's grasp. Do you accept my condolences?""

  In accepting the Peacemaker's words, Aionwatha's grief was lifted and peace was restored to him once again. He stood, and together they collaborated to carry this message of peace to all others who would listen.

  This painting depicts that first meeting between the Peacemaker and Aionwatha, where the first condolence took place.
""
",Cost $3000,,15,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj15/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj15/full/full/0/default.jpg,/img/derivatives/iiif/obj15/manifest.json
obj16,,,Boyd-Parker Park 2,photo,6/10/06,photo,,"Commemorates the martyrdom of the two Yankee scouts at the hands of Iroquois captors. Boyd led 28 scouts in a search for Little Beard's Town, which is burned on September 14, the day their corpses are found by Sullivan's troops.","The Onondaga capital, Onondaga Castle, was burnt on April 12-13, 1779. At Rt. 11, near Onondaga. The Seneca capital, Little Beard's Town, was burnt on Sept. 14-15, 1779. At Rt. 39, near Geneseo. The Cayuga capital, Goi-O-Guen, was burnt on Sept. 22-23, 1779. At Rt. 90, near Aurora. See its 1929 Redux, in the L. P. Hecht Gallery.",,16,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj16/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj16/full/full/0/default.jpg,/img/derivatives/iiif/obj16/manifest.json
obj17,Ernest Smith,,Driven from Home ,watercolor,1936,painting,,"The flight of 5,000+ Haudenosaunee refugees from Sullivan's advance in September, 1779. (Print of Ernest Smith's 1936 watercolor.)","The Onondaga capital, Onondaga Castle, was burnt on April 12-13, 1779. At Rt. 11, near Onondaga. The Seneca capital, Little Beard's Town, was burnt on Sept. 14-15, 1779. At Rt. 39, near Geneseo. The Cayuga capital, Goi-O-Guen, was burnt on Sept. 22-23, 1779. At Rt. 90, near Aurora. See its 1929 Redux, in the L. P. Hecht Gallery.",,17,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj17/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj17/full/full/0/default.jpg,/img/derivatives/iiif/obj17/manifest.json
obj18,,,Little Beard's Town Map,map,6/10/06,map,,"The Seneca capital, at the Western Door, was S/C's prime target. It is where Boyd & Parker were captured and killed while trying to locate the town for burning.","The Onondaga capital, Onondaga Castle, was burnt on April 12-13, 1779. At Rt. 11, near Onondaga. The Seneca capital, Little Beard's Town, was burnt on Sept. 14-15, 1779. At Rt. 39, near Geneseo. The Cayuga capital, Goi-O-Guen, was burnt on Sept. 22-23, 1779. At Rt. 90, near Aurora. See its 1929 Redux, in the L. P. Hecht Gallery.",,18,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj18/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj18/full/full/0/default.jpg,/img/derivatives/iiif/obj18/manifest.json
obj19,,,Little Beards Town Marker,photo,6/10/06,photo,,"The back of theS/C monument in Boyd- Parker Park is the only outdoor indication of the former site of the Seneca capital, the once West- ern Door, burnt by Sullivan/Clinton on Sept. 14, 1779.","The Onondaga capital, Onondaga Castle, was burnt on April 12-13, 1779. At Rt. 11, near Onondaga. The Seneca capital, Little Beard's Town, was burnt on Sept. 14-15, 1779. At Rt. 39, near Geneseo. The Cayuga capital, Goi-O-Guen, was burnt on Sept. 22-23, 1779. At Rt. 90, near Aurora. See its 1929 Redux, in the L. P. Hecht Gallery.",,19,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj19/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj19/full/full/0/default.jpg,/img/derivatives/iiif/obj19/manifest.json
obj2,Peter Jemison,online,At The Border,Oil on Canvas,1984,painting,,"Jemison's painting depicts the schism imposed on Indians by nation state borders. Casting blood red shadows, the two crows facing each other symbolize both division and bonds between Canadian and U.S. Iroquois communities. Their separation was partly created by the Sullivan-Clinton Campaign. ",,,2,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj2/full/full/0/default.jpg,/img/derivatives/iiif/obj2/manifest.json
obj20,,,Karmic Justice?,photo,6/10/06,photo,,"A nearby salt mine collapse in 1994 caused this toxic sinkhole. It festers with methane emissions, at the center of the former Seneca capital, Little Beard's Town, destroyed by Sullivan/Clinton.","The Onondaga capital, Onondaga Castle, was burnt on April 12-13, 1779. At Rt. 11, near Onondaga. The Seneca capital, Little Beard's Town, was burnt on Sept. 14-15, 1779. At Rt. 39, near Geneseo. The Cayuga capital, Goi-O-Guen, was burnt on Sept. 22-23, 1779. At Rt. 90, near Aurora. See its 1929 Redux, in the L. P. Hecht Gallery.",,20,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj20/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj20/full/full/0/default.jpg,/img/derivatives/iiif/obj20/manifest.json
obj21,,,The Bitter Waters,photo,6/10/06,photo,,"The collapse and flooding of the old Retsof mine shafts created this toxic sink hole. It lies beneath the Geneseo- Cuylerville road bridge, only 50 yards from Boyd-Parker Park, at the heart of Little Beard's Town.","The Onondaga capital, Onondaga Castle, was burnt on April 12-13, 1779. At Rt. 11, near Onondaga. The Seneca capital, Little Beard's Town, was burnt on Sept. 14-15, 1779. At Rt. 39, near Geneseo. The Cayuga capital, Goi-O-Guen, was burnt on Sept. 22-23, 1779. At Rt. 90, near Aurora. See its 1929 Redux, in the L. P. Hecht Gallery.",,21,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj21/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj21/full/full/0/default.jpg,/img/derivatives/iiif/obj21/manifest.json
obj22,,,The Scorched Earth,photo,6/10/06,photo,,The 1994 collapse of the nearby old Retsof mine made the area's wells and waters toxic and turned some of its still amazingly fertile topsoil into this.,"The Onondaga capital, Onondaga Castle, was burnt on April 12-13, 1779. At Rt. 11, near Onondaga. The Seneca capital, Little Beard's Town, was burnt on Sept. 14-15, 1779. At Rt. 39, near Geneseo. The Cayuga capital, Goi-O-Guen, was burnt on Sept. 22-23, 1779. At Rt. 90, near Aurora. See its 1929 Redux, in the L. P. Hecht Gallery.",,22,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj22/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj22/full/full/0/default.jpg,/img/derivatives/iiif/obj22/manifest.json
obj23,,,Torches to Plough Shares,photo,6/10/06,photo,,"Ample farms now stand on the former fields and orchards of Little Beard's Town. This one borders on the Retsof sink hole, only yards from Boyd- Parker Park and in the shadow of the new American Salt Co. mine.","The Onondaga capital, Onondaga Castle, was burnt on April 12-13, 1779. At Rt. 11, near Onondaga. The Seneca capital, Little Beard's Town, was burnt on Sept. 14-15, 1779. At Rt. 39, near Geneseo. The Cayuga capital, Goi-O-Guen, was burnt on Sept. 22-23, 1779. At Rt. 90, near Aurora. See its 1929 Redux, in the L. P. Hecht Gallery.",,23,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj23/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj23/full/full/0/default.jpg,/img/derivatives/iiif/obj23/manifest.json
obj24,,,Order of Battle,photo,6/10/06,photo,,"Outnumbering the population of Western Iroquoia, Sullivan's Army set out on a scorched earth invasion that burned all known villages and enlisted hunger by burning the harvest as winter approached.","The Onondaga capital, Onondaga Castle, was burnt on April 12-13, 1779. At Rt. 11, near Onondaga. The Seneca capital, Little Beard's Town, was burnt on Sept. 14-15, 1779. At Rt. 39, near Geneseo. The Cayuga capital, Goi-O-Guen, was burnt on Sept. 22-23, 1779. At Rt. 90, near Aurora. See its 1929 Redux, in the L. P. Hecht Gallery.",,24,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj24/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj24/full/full/0/default.jpg,/img/derivatives/iiif/obj24/manifest.json
obj25,,,Tortured Tree,photo,6/10/06,photo,,"Distressed, this tree expires on the very site of the Boyd-Parker ambush by the Senecas, three days before Sullivan's burning of nearby Little Beard's Town, the Seneca capital and Western Door.","The Onondaga capital, Onondaga Castle, was burnt on April 12-13, 1779. At Rt. 11, near Onondaga. The Seneca capital, Little Beard's Town, was burnt on Sept. 14-15, 1779. At Rt. 39, near Geneseo. The Cayuga capital, Goi-O-Guen, was burnt on Sept. 22-23, 1779. At Rt. 90, near Aurora. See its 1929 Redux, in the L. P. Hecht Gallery.",,25,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj25/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj25/full/full/0/default.jpg,/img/derivatives/iiif/obj25/manifest.json
obj26,,,Boyd-Parker Park 1,photo,6/10/06,photo,,"Set beside the Geneseo -Cuylerville Rd.(Rt. 39), this site and their Ambuscade are the only true Memorials to any named individuals, among the more than 10,000 fighters, victims and refugees directly involved in or impacted by the S-C Invasion.","The Onondaga capital, Onondaga Castle, was burnt on April 12-13, 1779. At Rt. 11, near Onondaga. The Seneca capital, Little Beard's Town, was burnt on Sept. 14-15, 1779. At Rt. 39, near Geneseo. The Cayuga capital, Goi-O-Guen, was burnt on Sept. 22-23, 1779. At Rt. 90, near Aurora. See its 1929 Redux, in the L. P. Hecht Gallery.",,26,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj26/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj26/full/full/0/default.jpg,/img/derivatives/iiif/obj26/manifest.json
obj27,,,I'll Take Manhattan!,photo,6/14/06,photo,,"The iconic ""sale"" of Manhattan for $24 in trinkets, on the base of Henry Hudson's towering statue. Hudson Park, Riverdale, NYC.","Alternative Viewpoints, from Here & There...",,27,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj27/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj27/full/full/0/default.jpg,/img/derivatives/iiif/obj27/manifest.json
obj28,,,"Old Wine, New Bottle",photo,6/14/06,photo,,"Ancestral mound near Goi-O-Gouen, the former Cayuga capital, on private farmlands, behind an electric fence. Cayugas were burned out by Sullivan-Clinton on Sept. 14, 1779.","Alternative Viewpoints, from Here & There...",,28,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj28/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj28/full/full/0/default.jpg,/img/derivatives/iiif/obj28/manifest.json
